,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5
58236,-8.879,42.67,52,400,12801,20671,937.478,2.11,2.19,14.53,2.265,0.051
54342,25.75,49.16,200,426,12774,20521,937.385,1.64,1.7,11.26,1.756,0.04
14651,14.554,48.26,1138,458,12868,19450,938.856,1.95,2.02,13.4,2.09,0.047
40501,27.14,47.16,1128,415,12878,19448,938.824,1.5,1.55,10.29,1.605,0.036
4863,-7.692,54.49,1,400,13267,20216,939.672,2.2,2.29,15.15,2.362,0.053
40310,26.94,47.74,1063,428,12878,19467,938.841,1.7,1.76,11.68,1.822,0.041
19437,20.108,53.83,1220,417,12920,19424,938.682,1.59,1.65,10.94,1.706,0.039
37977,27.02,47.15,1051,538,12838,19466,938.909,1.83,1.9,12.58,1.961,0.044
11754,14.493,53.32,1023,594,12816,19469,939.077,1.98,2.06,13.64,2.127,0.048
23469,-20.901,49.51,1387,406,12969,19384,938.703,2.01,2.09,13.84,2.158,0.049
49119,26.27,50.14,1115,400,13044,19453,938.748,2.19,2.28,15.09,2.353,0.053
22633,-20.035,48.66,1320,400,12967,19393,938.765,1.94,2.01,13.33,2.078,0.047
8145,-4.326,56.86,316,400,13108,19947,939.386,0.24,0.25,1.63,0.255,0.006
37592,24.43,53.18,1061,552,12826,19456,938.987,1.96,2.04,13.5,2.105,0.048
4157,-2.106,48.21,127,400,13216,20091,939.656,1.89,1.96,13.01,2.029,0.046
58177,-9.235,42.37,79,400,12787,20643,937.475,1.7,1.77,11.71,1.827,0.041
20261,13.839,52.67,1350,433,12921,19392,938.732,1.59,1.65,10.92,1.703,0.038
30986,19.44,55.42,128,400,13191,20135,939.654,1.73,1.8,11.9,1.856,0.042
26827,18.58,50.39,48,400,13128,20003,939.608,0.71,0.74,4.88,0.76,0.017
32958,18.64,54.7,311,400,13099,19949,939.417,0.36,0.37,2.45,0.382,0.009
27771,20.48,47.93,116,400,13185,20064,939.63,1.19,1.24,8.18,1.276,0.029
936,27.067,50.26,2,400,13022,19938,939.763,0.19,0.2,1.33,0.208,0.005
28238,20.54,66.44,77,400,13251,20139,939.687,2.75,2.86,18.94,2.953,0.067
128,21.747,51.18,2,413,12565,19665,939.805,0.0,0.01,0.01,0.014,0.008
14697,14.351,53.35,1197,472,12854,19427,938.875,1.68,1.75,11.59,1.807,0.041
57419,19.494,39.94,127,442,12803,20639,937.473,2.05,2.12,14.08,2.195,0.05
51329,27.04,44.68,39,433,12842,20744,937.575,1.88,1.95,12.92,2.015,0.046
32752,20.05,55.45,278,400,13124,19981,939.405,0.38,0.39,2.61,0.407,0.009
